review_confidence,geonames_id,name,ascii_name,feature_code,population,latitude,longitude,nearest_json_name,nearest_json_acs_code,distance_km,name_similarity,geonames_url
medium,276731,Beit Habchi,Beit Habchi,PPL,0,34.15361,36.09861,Bechouat,53333,3.305,0.471,https://www.geonames.org/276731
medium,6277870,Beït Aallaou,Beit Aallaou,PPL,0,34.37778,36.23278,Michaa Mrajhine,54114,3.619,0.333,https://www.geonames.org/6277870
medium,276755,Beït Aallâm,Beit Aallam,PPL,0,34.38694,36.24167,Michaa Mrajhine,54114,3.347,0.348,https://www.geonames.org/276755
medium,276736,Beït Bakkour,Beit Bakkour,PPL,0,34.39309,35.96079,Kfar Habou,37365,2.023,0.375,https://www.geonames.org/276736
medium,276725,Beït Hasna,Beit Hasna,PPL,0,34.38633,35.95872,Deir Nbouh,37377,2.1,0.333,https://www.geonames.org/276725
medium,276726,Beït Hassan Hsaïn,Beit Hassan Hsain,PPL,0,34.32556,36.30667,Ras Baalbek Ouadi Faara,54143,4.513,0.353,https://www.geonames.org/276726
medium,6278036,Beït et Tachm,Beit et Tachm,PPL,0,34.42361,36.46083,Qaa Ouadi El-Khanzir,53254,3.945,0.182,https://www.geonames.org/6278036
medium,276740,Beït et Tfaïlé,Beit et Tfaile,PPL,0,34.05167,36.23528,Maqne,53155,4.235,0.143,https://www.geonames.org/276740
medium,276008,Bioût el Aïn,Biout el Ain,PPL,0,34.40417,36.24667,Michaa Mrajhine,54114,3.033,0.381,https://www.geonames.org/276008
medium,276007,Bioût el Kraïm,Biout el Kraim,PPL,0,34.01,35.77056,Mayrouba,25459,2.306,0.333,https://www.geonames.org/276007
medium,276235,Blaïqa,Blaiqa,PPL,0,34.15,36.1,Bechouat,53333,3.17,0.462,https://www.geonames.org/276235
medium,276425,Bmaryamîne,Bmaryamine,PPL,0,33.14834,35.30004,Salhani,72135,2.032,0.471,https://www.geonames.org/276425
medium,276114,Bouryâne,Bouryane,PPL,0,34.17333,35.9025,Chatine,34366,2.358,0.4,https://www.geonames.org/276114
medium,276389,Braïssé,Braisse,PPL,0,34.44361,36.31611,Charbine El-Hermel,54127,2.287,0.727,https://www.geonames.org/276389
medium,433479,Bsoûjé,Bsouje,PPL,0,33.9125,35.87222,Qaa Er-Rim,51173,2.718,0.154,https://www.geonames.org/433479
medium,12239332,Buyūt al Ḩājj Ḩasan,Buyut al Hajj Hasan,PPL,0,34.38011,36.2245,Michaa Mrajhine,54114,3.073,0.4,https://www.geonames.org/12239332
medium,12239345,Buyūt ar Ruways,Buyut ar Ruways,PPL,0,34.36228,36.23736,Hermel Jbab,54159,2.784,0.2,https://www.geonames.org/12239345
medium,12239335,Buyūt ‘Awwād,Buyut `Awwad,PPL,0,34.37263,36.23529,Hermel Jbab,54159,3.6,0.2,https://www.geonames.org/12239335
medium,12239342,Bū Şawāyā,Bu Sawaya,PPL,0,34.35672,36.19337,Hermel Jbab,54159,2.503,0.235,https://www.geonames.org/12239342
medium,11048906,Cedars,Cedars,PPL,0,34.24438,36.04064,Bcharre,36111,2.271,0.462,https://www.geonames.org/11048906
medium,6277908,Chahout,Chahout,PPL,0,34.39417,36.39556,Hermel,54111,3.902,0.154,https://www.geonames.org/6277908
medium,278253,Charbîne,Charbine,PPL,0,34.45861,36.36167,Charbine El-Hermel,54127,4.329,0.727,https://www.geonames.org/278253
medium,6271145,Chmâlîyé,Chmaliye,PPL,0,33.28505,35.22846,Aabbassiyet Sour,62276,2.36,0.375,https://www.geonames.org/6271145
medium,275914,Dahr el Baïdar,Dahr el Baidar,PPL,0,33.80944,35.76639,Falougha,21446,2.049,0.333,https://www.geonames.org/275914
medium,275727,Daouret en Naml,Daouret en Naml,PPL,0,34.25889,36.27083,Maaysra El-Hermel,54167,2.371,0.4,https://www.geonames.org/275727
medium,275759,Deïr Zenoûn,Deir Zenoun,PPL,0,33.75694,35.91167,Raouda (Istabel),52295,2.14,0.273,https://www.geonames.org/275759
medium,6277965,Douane,Douane,PPL,0,34.34639,36.48333,Qaa Baalbek,53241,2.666,0.375,https://www.geonames.org/6277965
medium,278261,Ech Chaara,Ech Chaara,PPL,0,34.01028,35.81028,Faraya,25475,2.155,0.4,https://www.geonames.org/278261
medium,6277912,Ed Daïaa,Ed Daiaa,PPL,0,34.39722,36.38694,Hermel,54111,3.939,0.0,https://www.geonames.org/6277912
medium,6277216,Ed Dinnaïbé,Ed Dinnaibe,PPL,0,34.21,36.32722,Bajjaje,53221,2.475,0.286,https://www.geonames.org/6277216
medium,279883,Ej Jaouz,Ej Jaouz,PPL,0,34.46167,36.27722,Charbine El-Hermel,54127,3.469,0.19,https://www.geonames.org/279883
medium,279882,Ej Jaouzé,Ej Jaouze,PPL,0,33.85472,35.81694,Mazraat Er-Remtaniye,51185,2.031,0.348,https://www.geonames.org/279882
medium,279873,Ej Jisr,Ej Jisr,PPL,0,34.24722,36.01889,Bqaa Kafra,36191,2.338,0.286,https://www.geonames.org/279873
medium,280533,El Aali,El Aali,PPL,0,33.925,35.84028,Mtain,22711,2.22,0.5,https://www.geonames.org/280533
medium,280413,El Aazâq,El Aazaq,PPL,0,34.12,35.90194,Mghayre Jbeil,26341,2.578,0.182,https://www.geonames.org/280413
medium,280454,El Arz,El Arz,PPL,0,34.24472,36.03944,Bcharre,36111,2.335,0.4,https://www.geonames.org/280454
medium,280251,El Baqoûl,El Baqoul,PPL,0,34.4175,36.33333,Zighrine,54119,3.801,0.105,https://www.geonames.org/280251
medium,6278012,El Breïj,El Breij,PPL,0,34.45639,36.38528,Hermel,54111,3.935,0.364,https://www.geonames.org/6278012
medium,280212,El Fâaoûr,El Faaour,PPL,0,33.78083,35.97,Kfarzabad,51389,2.166,0.462,https://www.geonames.org/280212
medium,6253951,El Fâqaâ,El Faqaa,PPL,0,33.45722,35.81833,Tannoura,55131,2.286,0.308,https://www.geonames.org/6253951
medium,280181,El Ghâbé,El Ghabe,PPL,0,33.94583,35.79194,Baskinta,22797,2.169,0.286,https://www.geonames.org/280181
medium,280130,El Hefâïr,El Hefair,PPL,0,34.07889,36.07111,Bouday,53459,2.414,0.167,https://www.geonames.org/280130
medium,6278320,El Hichi,El Hichi,PPL,0,34.63667,36.3675,Aamayer,35512,2.166,0.125,https://www.geonames.org/6278320
medium,280085,El Hâra,El Hara,PPL,0,34.21,36.32139,Bajjaje,53221,2.81,0.364,https://www.geonames.org/280085
medium,280089,El Hâra,El Hara,PPL,0,34.01167,35.78417,Mayrouba,25459,2.137,0.5,https://www.geonames.org/280089
medium,6277916,El Jaouzâl,El Jaouzal,PPL,0,34.39528,36.38056,Hermel,54111,4.448,0.154,https://www.geonames.org/6277916
medium,6278018,El Khouâkh,El Khouakh,PPL,0,34.46639,36.39083,Hermel,54111,4.68,0.154,https://www.geonames.org/6278018
medium,279665,El Ktaïfé,El Ktaife,PPL,0,33.33787,35.61576,Ibl Es-Saqi,73127,2.133,0.286,https://www.geonames.org/279665
medium,6278568,El Majdal,El Majdal,PPL,0,34.62917,36.39556,Aamayer,35512,2.074,0.471,https://www.geonames.org/6278568
medium,279530,El Manzlé,El Manzle,PPL,0,34.19528,35.94111,Tannourine El-Faouqa,34386,2.383,0.364,https://www.geonames.org/279530
medium,279488,El Markaz,El Markaz,PPL,0,34.20083,35.95861,Tannourine El-Faouqa,34386,2.48,0.4,https://www.geonames.org/279488
medium,279625,El Mdâouich,El Mdaouich,PPL,0,34.39417,36.24861,Michaa Mrajhine,54114,3.473,0.381,https://www.geonames.org/279625
medium,279377,El Mounsé,El Mounse,PPL,0,34.59722,36.38722,Aamayer,35512,2.577,0.476,https://www.geonames.org/279377
medium,6277911,El Ouaqf,El Ouaqf,PPL,0,34.39111,36.38722,Deir Mar Maroun Baalbek,53244,4.396,0.316,https://www.geonames.org/6277911
medium,279172,El Qacha,El Qacha,PPL,0,34.01389,35.79056,Mayrouba,25459,2.174,0.308,https://www.geonames.org/279172
medium,279177,El Qerrâmi,El Qerrami,PPL,0,34.14194,36.10222,Deir El-Ahmar,53311,2.746,0.5,https://www.geonames.org/279177
medium,279062,El Qossaïfîyé,El Qossaifiye,PPL,0,33.88889,35.77639,Aintoura El-Matn,22751,2.212,0.273,https://www.geonames.org/279062
medium,279225,El Qâmoûaa,El Qamouaa,PPL,0,34.10889,35.90361,Yanouh Jbayl,26347,2.222,0.462,https://www.geonames.org/279225
medium,6280714,En Nqaïri,En Nqairi,PPL,0,34.00194,35.83694,Faraya,25475,2.173,0.286,https://www.geonames.org/6280714
medium,278404,Er Rouaïmé,Er Rouaime,PPL,0,34.51944,36.31639,Mazareaa Jabal Akroum,35516,4.84,0.533,https://www.geonames.org/278404
medium,278112,Es Saadîyât,Es Saadiyat,PPL,0,33.68894,35.42528,Dahr Ech-Chouf,23279,2.304,0.316,https://www.geonames.org/278112
medium,278088,Es Sahlé,Es Sahle,PPL,0,34.60417,36.34111,Aamayer,35512,3.643,0.444,https://www.geonames.org/278088
medium,6278356,Es Smaïtat,Es Smaitat,PPL,0,34.65389,36.34944,Machta Hammoud,35437,2.733,0.364,https://www.geonames.org/6278356
medium,277944,Es Souaïdîyé,Es Souaidiye,PPL,0,34.40583,36.24194,Michaa Mrajhine,54114,2.59,0.25,https://www.geonames.org/277944
medium,8604579,Faqra,Faqra,PPL,0,33.99746,35.82024,Kfar Tay El-Matn,22799,2.709,0.667,https://www.geonames.org/8604579
medium,275210,Fehta,Fehta,PPL,0,34.18722,35.92222,Ouata Houb,34381,2.053,0.308,https://www.geonames.org/275210
medium,275196,Flâoué,Flaoue,PPL,0,34.0825,36.05694,Bouday,53459,2.4,0.333,https://www.geonames.org/275196
medium,275201,Fîssâne,Fissane,PPL,0,34.47611,36.34639,Charbine El-Hermel,54127,3.175,0.286,https://www.geonames.org/275201
medium,275215,Fîyâdîyé,Fiyadiye,PPL,0,34.17389,35.90306,Ouata Houb,34381,2.36,0.4,https://www.geonames.org/275215
medium,6276067,Gend,Gend,PPL,0,34.18111,36.22333,Qarha Baalbek,53277,2.172,0.125,https://www.geonames.org/6276067
medium,274514,Haql Hammâna,Haql Hammana,PPL,0,33.87417,35.83833,Touaite Zahle,51145,2.004,0.182,https://www.geonames.org/274514
medium,274559,Haql el Jâmeaa,Haql el Jameaa,PPL,0,34.20194,36.31222,Sbouba,53261,3.287,0.143,https://www.geonames.org/274559
medium,6273896,Haret Chbîb,Haret Chbib,PPL,0,33.77472,35.47,Choueifat El-Quoubbe,24133,2.166,0.417,https://www.geonames.org/6273896
medium,6253882,Haret el Kaouasbé,Haret el Kaouasbe,PPL,0,33.49833,35.84472,Rachaiya,55111,2.919,0.545,https://www.geonames.org/6253882
medium,268307,Haret esh Sharqiyé,Haret esh Sharqiye,PPL,0,34.57889,36.28083,Mazraat En-Nahriye,35486,2.38,0.562,https://www.geonames.org/268307
medium,274124,Haï el Mathané,Hai el Mathane,PPL,0,34.2075,36.3225,Bajjaje,53221,2.956,0.353,https://www.geonames.org/274124
medium,274707,Hilta el Faouqa,Hilta el Faouqa,PPL,0,33.30889,35.66665,Meri,74158,2.145,0.143,https://www.geonames.org/274707
medium,273814,Hoûrâta,Hourata,PPL,0,34.1875,35.93056,Tannourine El-Faouqa,34386,2.654,0.435,https://www.geonames.org/273814
medium,12239358,Huwwat as Sawḩ,Huwwat as Sawh,PPL,0,34.34176,36.24027,Hermel Jbab,54159,2.232,0.222,https://www.geonames.org/12239358
medium,6277921,Iranîyé,Iraniye,PPL,0,34.38806,36.39583,Deir Mar Maroun Baalbek,53244,3.956,0.37,https://www.geonames.org/6277921
medium,273531,Jall el Bahr,Jall el Bahr,PPL,0,33.28075,35.21938,Borj Ech-Chemali,62128,2.621,0.296,https://www.geonames.org/273531
medium,273173,Judaydat Yabūs,Judaydat Yabus,PPL,0,33.66667,35.93333,Aayta El-Foukhar,55194,2.866,0.32,https://www.geonames.org/273173
medium,273488,Jâmeaa Ouâdi Zighrîne,Jameaa Ouadi Zighrine,PPL,0,34.42278,36.34722,Zighrine,54119,4.864,0.609,https://www.geonames.org/273488
medium,6271514,Karakol,Karakol,PPL,0,33.68778,35.41889,Jiye,23267,2.416,0.2,https://www.geonames.org/6271514
medium,272710,Karm Aaqaïl,Karm Aaqail,PPL,0,34.1425,36.22361,Riha,53355,2.341,0.154,https://www.geonames.org/272710
medium,11205005,Kfardebian,Kfardebian,PPL,0,33.99173,35.8377,Mchaa Kfar Dibiane,25482,3.25,0.741,https://www.geonames.org/11205005
medium,279786,Khaloué,Khaloue,PPL,0,33.41889,35.73861,Khalouet Hasbaiya,74168,2.126,0.8,https://www.geonames.org/279786
medium,6276032,Khirbet Younine,Khirbet Younine,PPL,0,34.15722,36.49306,Aarsal,53231,2.35,0.2,https://www.geonames.org/6276032
medium,6277525,Khirbet et Tiné,Khirbet et Tine,PPL,0,34.23306,36.53528,Ras Baalbek Ech-Charqi,53227,3.197,0.333,https://www.geonames.org/6277525
medium,269073,Korraïti,Korraiti,PPL,0,34.29389,36.31917,Ras Baalbek Ouadi Faara,54143,2.764,0.286,https://www.geonames.org/269073
medium,272275,Ksâr el Aabed,Ksar el Aabed,PPL,0,33.79708,35.96383,Dalhamiyet Zahle,51383,2.283,0.333,https://www.geonames.org/272275
medium,279663,Labbūna,Labbuna,PPL,0,33.09771,35.14952,Borj En-Naqoura,62312,2.168,0.4,https://www.geonames.org/279663
medium,271722,Manzoûl el Farâyes,Manzoul el Farayes,PPL,0,33.89361,35.84361,Majdel tarchich,22774,2.398,0.462,https://www.geonames.org/271722
medium,270441,Maqial el Qalaa,Maqial el Qalaa,PPL,0,34.2175,36.09167,Aaynata Baalbek,53377,3.626,0.471,https://www.geonames.org/270441
medium,271656,Maqsoûs,Maqsous,PPL,0,33.98889,36.23139,Aain Bourday,53115,2.494,0.353,https://www.geonames.org/271656
medium,271259,Marj Hîne,Marj Hine,PPL,0,34.40917,36.25444,Michaa Mrajhine,54114,3.751,0.727,https://www.geonames.org/271259
medium,271101,Martmoura,Martmoura,PPL,0,34.57917,36.27639,Mazraat En-Nahriye,35486,2.377,0.364,https://www.geonames.org/271101
medium,271456,Marāḩ Qirrayţah,Marah Qirraytah,PPL,0,34.36667,36.3,Zighrine,54119,2.773,0.214,https://www.geonames.org/271456
medium,270901,Masnaa ez Zohr,Masnaa ez Zohr,PPL,0,34.01972,35.99528,Jebaa,53171,2.686,0.25,https://www.geonames.org/270901
medium,270625,Mazraat Beït Mechaïk,Mazraat Beit Mechaik,PPL,0,34.04472,36.03028,Jebaa,53171,2.837,0.273,https://www.geonames.org/270625
medium,270628,Mazraat Beït el Fqîh,Mazraat Beit el Fqih,PPL,0,34.34833,36.34194,Zighrine,54119,4.527,0.276,https://www.geonames.org/270628
medium,270570,Mazraat Oumm Aali,Mazraat Oumm Aali,PPL,0,34.045,36.04028,Bouday,53459,2.311,0.286,https://www.geonames.org/270570
medium,270585,Mazraat Remâssé,Mazraat Remasse,PPL,0,34.04361,36.0225,Jebaa,53171,2.668,0.211,https://www.geonames.org/270585
medium,270633,Mazraat ed Dallîl,Mazraat ed Dallil,PPL,0,34.04083,36.05111,Bouday,53459,2.287,0.211,https://www.geonames.org/270633
medium,270686,Mazraat ej Jaouïk,Mazraat ej Jaouik,PPL,0,34.34556,36.0375,Bqarsouna,37319,3.381,0.333,https://www.geonames.org/270686
medium,270746,Ma‘zār,Ma`zar,PPL,0,33.58333,35.96667,Selsata (Mazraat Deir El-Aachaiyer),55191,2.054,0.4,https://www.geonames.org/270746
medium,279290,Mchaïtîyé,Mchaitiye,PPL,0,34.155,36.085,Aaynata Baalbek,53377,3.871,0.5,https://www.geonames.org/279290
medium,270185,Moql el Khaff,Moql el Khaff,PPL,0,33.95361,35.83694,Baskinta,22797,2.073,0.235,https://www.geonames.org/270185
medium,279321,Mqaïblé,Mqaible,PPL,0,34.64361,36.35278,Machta Hammoud,35437,2.383,0.348,https://www.geonames.org/279321
medium,6278121,Mrah Bou Zaïd,Mrah Bou Zaid,PPL,0,34.5025,36.33139,Charbine El-Hermel,54127,4.523,0.32,https://www.geonames.org/6278121
medium,6278157,Mrah Khirbet Halouâs,Mrah Khirbet Halouas,PPL,0,34.5725,36.39306,Mazareaa Jabal Akroum,35516,4.817,0.432,https://www.geonames.org/6278157
medium,271589,Mrah el Bsatine,Mrah el Bsatine,PPL,0,34.575,36.34778,Mazareaa Jabal Akroum,35516,2.088,0.452,https://www.geonames.org/271589
medium,271560,Mrah el Khaoukh,Mrah el Khaoukh,PPL,0,34.58722,36.35472,Mazareaa Jabal Akroum,35516,3.554,0.4,https://www.geonames.org/271560
medium,271598,Mrah el Âaokch,Mrah el Aaokch,PPL,0,34.22389,36.2625,Sbouba,53261,2.17,0.125,https://www.geonames.org/271598
medium,6278174,Mrah es Soûs,Mrah es Sous,PPL,0,34.53917,36.37639,Mazareaa Jabal Akroum,35516,3.519,0.375,https://www.geonames.org/6278174
medium,271625,Mrâh Aabbâs,Mrah Aabbas,PPL,0,34.39722,36.35056,Zighrine,54119,3.075,0.167,https://www.geonames.org/271625
medium,271572,Mrâh Aali Mehdi Aallaou,Mrah Aali Mehdi Aallaou,PPL,0,34.36778,36.27722,Zighrine,54119,4.409,0.294,https://www.geonames.org/271572
medium,271622,Mrâh Abou Handal,Mrah Abou Handal,PPL,0,34.32167,36.31472,Ras Baalbek Ouadi Faara,54143,3.659,0.529,https://www.geonames.org/271622
medium,271496,Mrâh Beït Aallaou,Mrah Beit Aallaou,PPL,0,34.36722,36.3425,Zighrine,54119,2.826,0.207,https://www.geonames.org/271496
medium,271493,Mrâh Beït Aassâf,Mrah Beit Aassaf,PPL,0,34.06361,36.02028,Mazraat beit Mchaik,53457,2.706,0.516,https://www.geonames.org/271493
medium,271492,Mrâh Beït Mhammed,Mrah Beit Mhammed,PPL,0,34.31361,36.31222,Ras Baalbek Ouadi Faara,54143,3.442,0.353,https://www.geonames.org/271492
medium,271621,Mrâh Bou Qamar ed Dîne,Mrah Bou Qamar ed Dine,PPL,0,34.39167,36.345,Zighrine,54119,2.368,0.333,https://www.geonames.org/271621
medium,271480,Mrâh Dahr ech Chîr,Mrah Dahr ech Chir,PPL,0,34.3175,36.31139,Ras Baalbek Ouadi Faara,54143,3.684,0.294,https://www.geonames.org/271480
medium,271481,Mrâh Daâs Taâne,Mrah Daas Taane,PPL,0,34.30722,36.31028,Ras Baalbek Ouadi Faara,54143,3.437,0.375,https://www.geonames.org/271481
medium,271476,Mrâh Haïssoûn,Mrah Haissoun,PPL,0,34.03944,36.04028,Jebaa,53171,2.64,0.25,https://www.geonames.org/271476
medium,271475,Mrâh Hqâb en Najjâr,Mrah Hqab en Najjar,PPL,0,34.33583,36.36944,Deir Mar Maroun Baalbek,53244,3.179,0.368,https://www.geonames.org/271475
medium,271473,Mrâh Hsaïn Taâne,Mrah Hsain Taane,PPL,0,34.30361,36.30333,Maaysra El-Hermel,54167,3.643,0.37,https://www.geonames.org/271473
medium,271448,Mrâh Sabri Hsaïn,Mrah Sabri Hsain,PPL,0,34.33444,36.325,Ras Baalbek Ouadi Faara,54143,4.078,0.424,https://www.geonames.org/271448
medium,271447,Mrâh Sahlet el Barghach,Mrah Sahlet el Barghach,PPL,0,34.375,36.29222,Zighrine,54119,2.823,0.25,https://www.geonames.org/271447
medium,271440,Mrâh Yâssîne,Mrah Yassine,PPL,0,34.33722,36.335,Ras Baalbek Ouadi Faara,54143,3.999,0.267,https://www.geonames.org/271440
medium,271436,Mrâh Zouaïtîni,Mrah Zouaitini,PPL,0,34.35639,36.32583,Zighrine,54119,3.218,0.296,https://www.geonames.org/271436
medium,6277913,Mrâh ech Charqi,Mrah ech Charqi,PPL,0,34.39917,36.38306,Hermel,54111,3.965,0.316,https://www.geonames.org/6277913
medium,271524,Mrâh ech Chnaïn,Mrah ech Chnain,PPL,0,34.4,36.345,Zighrine,54119,2.8,0.37,https://www.geonames.org/271524
medium,271618,Mrâh ed Dahr,Mrah ed Dahr,PPL,0,34.32806,36.36472,Ras Baalbek Ouadi Faara,54143,3.24,0.37,https://www.geonames.org/271618
medium,271613,Mrâh ed Deqaïyeq,Mrah ed Deqaiyeq,PPL,0,34.05694,36.02722,Bouday,53459,2.724,0.316,https://www.geonames.org/271613
medium,271609,Mrâh el Aabd,Mrah el Aabd,PPL,0,34.23972,36.265,Kharayeb El-Hermel,54175,2.494,0.5,https://www.geonames.org/271609
medium,271602,Mrâh el Aarab,Mrah el Aarab,PPL,0,34.47778,36.35444,Charbine El-Hermel,54127,3.925,0.435,https://www.geonames.org/271602
medium,271538,Mrâh el Aataïbé,Mrah el Aataibe,PPL,0,34.345,36.34306,Ras Baalbek Ouadi Faara,54143,4.717,0.4,https://www.geonames.org/271538
medium,271606,Mrâh el Ahmar,Mrah el Ahmar,PPL,0,34.04278,36.01222,Jebaa,53171,2.805,0.286,https://www.geonames.org/271606
medium,271600,Mrâh el Aouja,Mrah el Aouja,PPL,0,34.13472,36.08194,Btedaai,53375,3.302,0.25,https://www.geonames.org/271600
medium,271590,Mrâh el Balloût,Mrah el Ballout,PPL,0,34.36222,36.33361,Zighrine,54119,2.804,0.16,https://www.geonames.org/271590
medium,6277915,Mrâh el Gharbi,Mrah el Gharbi,PPL,0,34.3975,36.37833,Hermel,54111,4.385,0.125,https://www.geonames.org/6277915
medium,271583,Mrâh el Ghâmirât,Mrah el Ghamirat,PPL,0,34.29389,36.28917,Maaysra El-Hermel,54167,2.374,0.462,https://www.geonames.org/271583
medium,274387,Mrâh el Harfoûch,Mrah el Harfouch,PPL,0,34.19528,36.24444,Harabta,53264,2.401,0.462,https://www.geonames.org/274387
medium,271576,Mrâh el Harîqa,Mrah el Hariqa,PPL,0,34.3975,36.33833,Zighrine,54119,2.147,0.333,https://www.geonames.org/271576
medium,271561,Mrâh el Khaoukh,Mrah el Khaoukh,PPL,0,34.19028,36.2,Ram Baalbek,53281,2.664,0.286,https://www.geonames.org/271561
medium,271553,Mrâh el Mahlisé,Mrah el Mahlise,PPL,0,34.28056,36.26111,Ouadi Faara,54151,2.522,0.261,https://www.geonames.org/271553
medium,271554,Mrâh el Mahlîssi,Mrah el Mahlissi,PPL,0,34.41361,36.32028,Zighrine,54119,3.182,0.231,https://www.geonames.org/271554
medium,271550,Mrâh el Mechref,Mrah el Mechref,PPL,0,34.43167,36.36222,Hermel,54111,4.379,0.353,https://www.geonames.org/271550
medium,271541,Mrâh el Qloûd,Mrah el Qloud,PPL,0,34.12861,36.06889,Dar El-Ouassaa,53366,2.602,0.316,https://www.geonames.org/271541
medium,271540,Mrâh el Qorné,Mrah el Qorne,PPL,0,34.3275,36.32111,Ras Baalbek Ouadi Faara,54143,3.657,0.276,https://www.geonames.org/271540
medium,271515,Mrâh es Siyâd,Mrah es Siyad,PPL,0,34.37278,36.34361,Zighrine,54119,2.519,0.24,https://www.geonames.org/271515
medium,271502,Mrâh ez Zouârîb,Mrah ez Zouarib,PPL,0,34.28889,36.26806,Ras Baalbek El Gharbi,54135,2.206,0.414,https://www.geonames.org/271502
medium,271412,Mâr Boutros,Mar Boutros,PPL,0,34.12056,35.90528,Mghayre Jbeil,26341,2.868,0.4,https://www.geonames.org/271412
medium,270026,Nabaa ej Jdîd,Nabaa ej Jdid,PPL,0,34.19917,35.95278,Tannourine El-Faouqa,34386,2.33,0.25,https://www.geonames.org/270026
medium,270021,Nabaa el Mghâra,Nabaa el Mghara,PPL,0,34.01278,35.79722,Hrajel,25471,2.126,0.353,https://www.geonames.org/270021
medium,266375,Ouâdi ed Deleb,Ouadi ed Deleb,PPL,0,33.93194,35.82944,Mtain,22711,2.152,0.308,https://www.geonames.org/266375
